[00:00.000 --> 00:02.000]  fashionably late as always.
[00:02.000 --> 00:04.000]  It's pretty good for me.
[00:04.000 --> 00:05.000]  Yeah.
[00:05.000 --> 00:06.000]  Eight minutes.
[00:09.000 --> 00:11.000]  You guys do the live thing on ATP,
[00:11.000 --> 00:12.000]  so you've got to be on time,
[00:12.000 --> 00:14.000]  because people are sitting there
[00:14.000 --> 00:16.000]  hitting refresh on the website.
[00:16.000 --> 00:18.000]  That's not why we're on time.
[00:18.000 --> 00:21.000]  Why are you on time?
[00:22.000 --> 00:24.000]  Self-respect, I guess.
[00:25.000 --> 00:27.000]  Standards.
[00:27.000 --> 00:28.000]  Well, East Coast people,
[00:28.000 --> 00:29.000]  you're at East Coast person too.
[00:29.000 --> 00:30.000]  You're supposed to be representing for us.
[00:30.000 --> 00:34.000]  Instead, you're going to Las Vegas mode.
[00:35.000 --> 00:36.000]  I don't think it's that bad,
[00:36.000 --> 00:39.000]  but it is sort of a West Coast personality trait.
[00:39.000 --> 00:41.000]  The West Coast move,
[00:41.000 --> 00:42.000]  which is also your move,
[00:42.000 --> 00:45.000]  is like nine o'clock rolls around
[00:45.000 --> 00:46.000]  or whatever time we're doing,
[00:46.000 --> 00:48.000]  and you realize, oh, I forgot about that,
[00:48.000 --> 00:51.000]  and you immediately positioned for a 15 minute delay.
[00:51.000 --> 00:54.000]  And then you have a five minute delay after the 15 minute delay.
[00:54.000 --> 00:55.000]  All right.
[00:57.000 --> 00:58.000]  It's all right.
[00:59.000 --> 01:00.000]  Makes you endearing.
[01:00.000 --> 01:02.000]  Oh, you sound like you're in a good mood.
[01:03.000 --> 01:04.000]  Yeah, sure.
[01:04.000 --> 01:05.000]  Sure, why not?
[01:05.000 --> 01:06.000]  It's been a busy week.
[01:08.000 --> 01:11.000]  So I finished listening to,
[01:11.000 --> 01:12.000]  now I'll probably end up as a behind note,
[01:12.000 --> 01:14.000]  because you guys probably recorded last night.
[01:14.000 --> 01:17.000]  For context, we are recording right now.
[01:17.000 --> 01:20.000]  It's Thursday, October 23rd.
[01:20.000 --> 01:22.000]  You guys probably did an ATP last night,
[01:22.000 --> 01:23.000]  but it's not out yet.
[01:23.000 --> 01:24.000]  So I might be behind.
[01:24.000 --> 01:25.000]  Yeah.
[01:25.000 --> 01:26.000]  But I did listen to last week's show,
[01:26.000 --> 01:29.000]  where you talked about your Yosemite review.
[01:29.000 --> 01:33.000]  We talked more about it yesterday in yesterday's episode as well.
[01:33.000 --> 01:35.000]  Well, I'll try not to, well,
[01:35.000 --> 01:38.000]  if we venture into duplicating the same story territory,
[01:38.000 --> 01:40.000]  you can just interrupt me and say, you know what,
[01:40.000 --> 01:42.000]  listen to ATP, because I want to do, you know,
[01:42.000 --> 01:44.000]  to know you sway some people's time.
[01:44.000 --> 01:45.000]  I'll say the same things twice.
[01:45.000 --> 01:46.000]  I don't care.
[01:46.000 --> 01:48.000]  The thing with all podcasts is,
[01:48.000 --> 01:50.000]  you know, this is kind of like,
[01:50.000 --> 01:52.000]  it's like a first draft over your thoughts are
[01:52.000 --> 01:53.000]  and you just kind of on the spot,
